frame_idx,marker_id,world_x,world_y,world_z
54,0,-0.79644,-0.00210145,0.0648426
55,2,-0.610913,-0.00294727,0.0593246
55,1,-0.700166,-0.00217447,0.0678985
55,0,-0.79644,-0.00210145,0.0648426
56,2,-0.610913,-0.00294727,0.0593246
56,1,-0.700166,-0.00217447,0.0678985
56,0,-0.79644,-0.00210145,0.0648426
57,2,-0.610913,-0.00294727,0.0593246
57,1,-0.700166,-0.00217447,0.0678985
57,0,-0.79644,-0.00210145,0.0648426
58,2,-0.610913,-0.00294727,0.0593246
58,1,-0.700166,-0.00217447,0.0678985
58,0,-0.79644,-0.00210145,0.0648426
59,2,-0.610913,-0.00294727,0.0593246
59,1,-0.700166,-0.00217447,0.0678985
59,0,-0.79644,-0.00210145,0.0648426
