bpm	107
12	0.300	2	0	5	0	1	1	
12	0.300	0	5	0	5	0	1	
12	0.300	0	0	0	0	1	1	
12	0.300	2	5	5	5	0	1	
12	0.150	2	0	5	0	0	1	
12	0.150	0	0	0	0	1	1	
12	0.150	2	0	5	0	0	1	
12	0.150	2	5	5	5	0	1	
13	0.300	0	8	0	5	1	1	
13	0.300	2	5	5	5	0	1	
13	0.300	0	0	0	0	1	1	
13	0.300	2	5	5	5	0	1	
13	0.300	0	0	0	0	1	1	
13	0.300	2	5	5	5	0	1	
13	0.150	2	0	5	0	0	1	
13	0.150	0	0	0	0	1	1	
13	0.150	2	0	5	0	0	1	
13	0.150	2	5	5	5	0	1	
14	0.300	2	0	5	0	1	1	
14	0.300	0	5	0	5	0	1	
14	0.300	2	0	5	0	1	1	
14	0.300	0	5	0	5	0	1	
14	0.300	0	0	0	0	1	1	
14	0.300	2	5	5	5	0	1	
14	0.150	2	0	5	0	0	1	
14	0.150	0	0	0	0	1	1	
14	0.150	2	0	5	0	0	1	
14	0.150	2	5	5	5	0	1	
15	0.300	0	0	0	0	1	1	
15	0.300	2	5	5	5	0	1	
15	0.300	0	0	0	0	1	1	
15	0.300	2	5	5	5	0	1	
15	0.300	0	0	0	0	1	1	
15	0.300	2	5	5	5	0	1	
15	0.150	2	0	5	0	0	1	
15	0.150	0	0	0	0	1	1	
15	0.150	2	0	5	0	0	1	
15	0.150	2	5	5	5	0	1	
16	0.300	2	0	5	0	1	1	
16	0.300	0	5	0	5	0	1	
16	0.300	2	0	5	0	1	1	
16	0.300	0	5	0	5	0	1	
16	0.300	0	0	0	0	1	1	
16	0.300	2	5	5	5	0	1	
16	0.150	2	0	5	0	0	1	
16	0.150	0	0	0	0	1	1	
16	0.150	2	0	5	0	0	1	
16	0.150	2	5	5	5	0	1	
17	0.300	0	0	0	0	1	1	
17	0.300	2	5	5	5	0	1	
17	0.300	0	0	0	0	1	1	
17	0.300	2	5	5	5	0	1	
17	0.300	0	0	0	0	1	1	
17	0.300	2	5	5	5	0	1	
17	0.150	2	0	5	0	0	1	
17	0.150	0	0	0	0	1	1	
17	0.150	2	0	5	0	0	1	
17	0.150	2	5	5	5	0	1	
18	0.300	2	0	5	0	1	1	
18	0.300	0	5	0	5	0	1	
18	0.300	2	0	5	0	1	1	
18	0.300	0	5	0	5	0	1	
18	0.300	0	0	0	0	1	1	
18	0.300	2	5	5	5	0	1	
18	0.150	2	0	5	0	0	1	
18	0.150	0	0	0	0	1	1	
18	0.150	2	0	5	0	0	1	
18	0.150	2	5	5	5	0	1	
19	0.300	0	0	0	0	1	1	
19	0.300	2	5	5	5	0	1	
19	0.300	0	0	0	0	1	1	
19	0.300	2	5	5	5	0	1	
19	0.300	0	0	0	0	1	1	
19	0.300	2	5	5	5	0	1	
19	0.150	2	0	5	0	0	1	
19	0.150	0	0	0	0	1	1	
19	0.150	2	0	5	0	0	1	
19	0.150	2	5	5	5	0	1	
20	0.300	2	0	5	0	1	1	
20	0.300	0	5	0	5	0	1	
20	0.300	2	0	5	0	1	1	
20	0.300	0	5	0	5	0	1	
20	0.300	0	0	0	0	1	1	
20	0.300	2	5	5	5	0	1	
20	0.150	2	0	5	0	0	1	
20	0.150	0	0	0	0	1	1	
20	0.150	2	0	5	0	0	1	
20	0.150	2	5	5	5	0	1	
21	0.300	0	0	0	0	1	1	
21	0.300	2	5	5	5	0	1	
21	0.300	0	0	0	0	1	1	
21	0.300	2	5	5	5	0	1	
21	0.300	0	0	0	0	1	1	
21	0.300	2	5	5	5	0	1	
21	0.150	2	0	5	0	0	1	
21	0.150	0	0	0	0	1	1	
21	0.150	2	0	5	0	0	1	
21	0.150	2	5	5	5	0	1	
22	0.300	2	0	5	0	1	1	
22	0.300	0	5	0	5	0	1	
22	0.300	2	0	5	0	1	1	
22	0.300	0	5	0	5	0	1	
22	0.300	0	0	0	0	1	1	
22	0.300	2	5	5	5	0	1	
22	0.150	2	0	5	0	0	1	
22	0.150	0	0	0	0	1	1	
22	0.150	2	0	5	0	0	1	
22	0.150	2	5	5	5	0	1	
23	0.300	0	0	0	0	1	1	
23	0.300	2	5	5	5	0	1	
23	0.300	0	0	0	0	1	1	
23	0.300	2	5	5	5	0	1	
23	0.300	0	0	0	0	1	1	
23	0.300	2	5	5	5	0	1	
23	0.150	2	0	5	0	0	1	
23	0.150	0	0	0	0	1	1	
23	0.150	2	0	5	0	0	1	
23	0.150	2	5	5	5	0	1	
24	0.300	2	0	5	0	1	1	
24	0.300	0	5	0	5	0	1	
24	0.300	2	0	5	0	1	1	
24	0.300	0	5	0	5	0	1	
24	0.300	0	0	0	0	1	1	
24	0.300	2	5	5	5	0	1	
24	0.150	2	0	5	0	0	1	
24	0.150	0	0	0	0	1	1	
24	0.150	2	0	5	0	0	1	
24	0.150	2	5	5	5	0	1	
25	0.300	0	0	0	0	1	1	
25	0.300	2	5	5	5	0	1	
25	0.300	0	0	0	0	1	1	
25	0.300	2	5	5	5	0	1	
25	0.300	0	0	0	0	1	1	
