frame_idx,marker_id,world_x,world_y,world_z,c_x,c_y
35,3,-0.433933,0.00404126,0.0712327368319
35,0,-0.588375,-0.00355563,0.583199688270
35,2,-0.508051,-0.123007,0.153752429224
36,1,-0.592285,0.0802684,0.478181633353
36,4,-0.348805,0.00313832,0.071083308326
36,3,-0.433437,0.0038469,0.0710968368319
36,0,-0.588519,-0.00359949,0.583051688270
36,2,-0.509698,-0.122785,0.151723429224
37,1,-0.590623,0.0799636,0.480052633353
37,4,-0.349625,0.00327749,0.0701098308326
37,3,-0.433536,0.00392195,0.0712991368319
37,0,-0.58876,-0.00343792,0.582698688270
37,2,-0.508593,-0.123006,0.152949429224
38,1,-0.591845,0.0801441,0.478687633353
38,4,-0.351728,0.00362969,0.0675639308326
38,3,-0.432721,0.00375458,0.0717948368319
38,0,-0.588346,-0.00357,0.583172688270
38,2,-0.509161,-0.122927,0.152249429224
39,1,-0.592249,0.0802152,0.478249633353
39,4,-0.35118,0.00352883,0.0687765308326
39,3,-0.433504,0.00386113,0.0711035368319
39,0,-0.588528,-0.00351471,0.582965688270
39,2,-0.509193,-0.122582,0.152856429224
40,1,-0.592541,0.0802805,0.477872633353
40,4,-0.351796,0.00369011,0.0683207308326
40,3,-0.431781,0.00353077,0.0727481368319
40,0,-0.588473,-0.00355495,0.583071688270
40,2,-0.50845,-0.122881,0.153478429224
41,1,-0.592284,0.0802082,0.478172633353
41,4,-0.349431,0.00326869,0.070419308326
41,3,-0.432928,0.00386323,0.0722977368319
41,0,-0.588306,-0.00364079,0.58334688270
41,2,-0.509082,-0.122693,0.152884429224
42,1,-0.593519,0.0804319,0.476719633353
42,4,-0.35277,0.00381215,0.0668408308326
42,3,-0.433089,0.00378485,0.0714257368319
42,0,-0.588642,-0.00359269,0.582945688270
42,2,-0.507612,-0.123289,0.153809429224
43,1,-0.592706,0.0803019,0.477646633353
43,4,-0.350778,0.00346042,0.0686864308326
43,3,-0.432298,0.00364681,0.072158368319
43,0,-0.588207,-0.00360196,0.583394688270
43,2,-0.509504,-0.122795,0.152032429224
44,1,-0.591832,0.0801576,0.478673633353
44,4,-0.351735,0.00360517,0.0676732308326
44,3,-0.433759,0.00401482,0.0714509368319
44,0,-0.588468,-0.00358115,0.583116688270
44,2,-0.510349,-0.122738,0.15091429224
45,1,-0.59195,0.0801867,0.478574633353
45,4,-0.352374,0.00372075,0.0668591308326
45,3,-0.434947,0.00415753,0.0695212368319
45,0,-0.588206,-0.00362486,0.583415688270
45,2,-0.50898,-0.122916,0.152572429224
46,1,-0.591092,0.0800215,0.479561633353
46,4,-0.350639,0.0034323,0.0686687308326
46,3,-0.434585,0.004113,0.070159368319
46,0,-0.588407,-0.00366756,0.58321688270
46,2,-0.508581,-0.123135,0.152642429224
47,1,-0.591478,0.0801244,0.479059633353
47,4,-0.350536,0.00337553,0.0683597308326
47,3,-0.432683,0.00366833,0.0716433368319
47,0,-0.588649,-0.00355494,0.582904688270
47,2,-0.507083,-0.123464,0.154277429224
48,1,-0.59181,0.0801461,0.478764633353
48,4,-0.350872,0.00345607,0.068554308326
48,3,-0.433423,0.00393569,0.0715748368319
48,0,-0.588218,-0.00359025,0.58339688270
48,2,-0.50842,-0.123018,0.153244429224
49,1,-0.592812,0.0803385,0.477577633353
49,4,-0.350652,0.00340274,0.0684638308326
49,3,-0.432921,0.00375255,0.0714889368319
49,0,-0.58842,-0.00356663,0.583129688270
49,2,-0.508995,-0.123064,0.152192429224
50,1,-0.592058,0.080189,0.478399633353
50,4,-0.349893,0.00330816,0.0699729308326
50,3,-0.432963,0.00372613,0.0713087368319
50,0,-0.588393,-0.00358171,0.583155688270
50,2,-0.50915,-0.123147,0.15189429224
51,1,-0.59274,0.0803061,0.477623633353
51,4,-0.351524,0.00356206,0.0676971308326
51,3,-0.433809,0.00401251,0.0713345368319
51,0,-0.588193,-0.00359202,0.583408688270
51,2,-0.509059,-0.122968,0.152367429224
52,1,-0.592379,0.0802544,0.478101633353
52,4,-0.350308,0.00336164,0.0689583308326
52,3,-0.434894,0.00416893,0.0698488368319
